BGC0001230,O=C(N[C@](C(N[C@](C1=CC=C(O[C@H](C)[C@@](O)(CO)/C=C/C2=O)C=C1)([H])C(N([C@H](C(N[C@]3([H])[C@@H](C)O)=O)CC4=CC=CC=C4)C)=O)=O)([H])[C@H](CC)C)[C@H]([C@@H](C)OC([C@H](COC(CN2)=O)NC3=O)=O)NC([C@@H]([C@@H](C(C)C)O)C)=O,
BGC0001230,O=C(N[C@](C(N[C@@](C1=CC=C(O)C=C1)([H])C(N([C@H](C(N[C@]2([H])[C@@H](C)O)=O)CC3=CC=CC=C3)C)=O)=O)([H])[C@H](CC)C)[C@H]([C@@H](C)OC([C@H](COC(CNC(/C=C/C(C)=C/C)=O)=O)NC2=O)=O)NC([C@@H]([C@@H](C(C)C)O)C)=O,
BGC0001230,O=C(N[C@](C(N[C@](C1=CC=C(O)C=C1)([H])C(N([C@H](C(N[C@]2([H])[C@@H](C)O)=O)CC3=CC=CC=C3)C)=O)=O)([H])[C@H](CC)C)[C@H]([C@@H](C)OC([C@H](CO[H])NC2=O)=O)NC([C@@H]([C@@H](C(C)C)O)C)=O,
BGC0001203,O=C(CCCCCCC(C)(O)C)N(C)C(CC(C)C)C(NC(C(C)C)C(NC(C(C)O)C(NC(C)C(C1(OC1)C)=O)=O)=O)=O,
BGC0001796,CC(C)CCCCCC(=O)N[C@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CO)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CCCNC(N)=N)C(O)=O,
BGC0002424,CCCCCCCCCCCC(=O)N[C@@H](CCCN(O)C=O)C(=O)N[C@@H](CO)C(=O)N(O)CCC[C@@H]1NC(=O)[C@H](CCCN(O)C=O)NC1=O,
BGC0002424,CC(C)CCCCCCCCC(=O)N[C@@H](CCCN(O)C=O)C(=O)N[C@@H](CO)C(=O)N(O)CCC[C@@H]1NC(=O)[C@H](CCCN(O)C=O)NC1=O,
BGC0002424,CCCCCCCCCCCCC(=O)N[C@@H](CCCN(O)C=O)C(=O)N[C@@H](CO)C(=O)N(O)CCC[C@@H]1NC(=O)[C@H](CCCN(O)C=O)NC1=O,
BGC0002424,CC(C)CCCCCCCCCC(=O)N[C@@H](CCCN(O)C=O)C(=O)N[C@@H](CO)C(=O)N(O)CCC[C@@H]1NC(=O)[C@H](CCCN(O)C=O)NC1=O,
BGC0002424,CCCCCCCCCCCCCC(=O)N[C@@H](CCCN(O)C=O)C(=O)N[C@@H](CO)C(=O)N(O)CCC[C@@H]1NC(=O)[C@H](CCCN(O)C=O)NC1=O,
